"date","true","false","pct_ret"
"2018-6-8",3,9,25
"2018-6-9",3,9,25
"2018-6-10",3,9,25
"2018-6-11",3,9,25
"2018-6-12",2,10,16.6666666666667
"2018-6-13",2,10,16.6666666666667
"2018-6-14",2,10,16.6666666666667
"2018-6-15",2,10,16.6666666666667
"2018-6-16",2,10,16.6666666666667
"2018-6-17",3,9,25
"2018-6-18",3,9,25
"2018-6-19",3,9,25
"2018-6-20",3,9,25
"2018-6-21",3,9,25
"2018-6-22",3,9,25
"2018-6-23",2,10,16.6666666666667
"2018-6-24",2,10,16.6666666666667
"2018-6-25",2,10,16.6666666666667
"2018-6-26",3,9,25
"2018-6-27",3,9,25
"2018-6-28",3,9,25
"2018-6-29",3,9,25
"2018-6-30",3,9,25
"2018-7-1",3,9,25
"2018-7-2",2,10,16.6666666666667
"2018-7-3",2,10,16.6666666666667
"2018-7-4",2,10,16.6666666666667
"2018-7-5",2,10,16.6666666666667
"2018-7-6",2,10,16.6666666666667
"2018-7-7",3,9,25
"2018-7-8",3,9,25
"2018-7-9",3,9,25
"2018-7-10",3,9,25
"2018-7-11",3,9,25
"2018-7-12",3,9,25
"2018-7-13",2,10,16.6666666666667
"2018-7-14",3,9,25
"2018-7-15",3,9,25
"2018-7-16",3,9,25
"2018-7-17",3,9,25
"2018-7-18",3,9,25
"2018-7-19",3,9,25
"2018-7-20",3,9,25
"2018-7-21",2,10,16.6666666666667
"2018-7-22",2,10,16.6666666666667
"2018-7-23",2,10,16.6666666666667
"2018-7-24",2,10,16.6666666666667
"2018-7-25",2,10,16.6666666666667
"2018-7-26",3,9,25
"2018-7-27",3,9,25
"2018-7-28",3,9,25
"2018-7-29",3,9,25
"2018-7-30",3,9,25
"2018-7-31",3,9,25
"2018-8-1",2,10,16.6666666666667
"2018-8-2",3,9,25
"2018-8-3",3,9,25
"2018-8-4",3,9,25
"2018-8-5",3,9,25
"2018-8-6",3,9,25
"2018-8-7",3,9,25
"2018-8-8",2,10,16.6666666666667
"2018-8-9",2,10,16.6666666666667
"2018-8-10",2,10,16.6666666666667
"2018-8-11",2,10,16.6666666666667
"2018-8-12",3,9,25
"2018-8-13",3,9,25
"2018-8-14",3,9,25
"2018-8-15",3,9,25
"2018-8-16",3,9,25
"2018-8-17",3,9,25
"2018-8-18",3,9,25
"2018-8-19",2,10,16.6666666666667
"2018-8-20",3,9,25
"2018-8-21",3,9,25
"2018-8-22",3,9,25
"2018-8-23",3,9,25
"2018-8-24",3,9,25
"2018-8-25",3,9,25
"2018-8-26",3,9,25
"2018-8-27",2,10,16.6666666666667
